Mean Happiness Rating,Region,City,All persons,Obese persons,"Admissions per 100,000 of population ",Gender
7.39,East,Southend-on-Sea,1745.00,560.00,639.00,Male
7.48,East,Suffolk,15975.00,5705.00,1449.00,Male
7.30,East,Thurrock,1895.00,565.00,797.00,Male
7.22,London,Barking and Dagenham,3845.00,1205.00,1673.00,Male
7.42,London,Barnet,4140.00,1430.00,928.00,Male
7.24,London,Bexley,3975.00,1585.00,1514.00,Male
7.31,London,Brent,7045.00,2345.00,1853.00,Male
7.48,London,Bromley,4790.00,1670.00,1145.00,Male
7.21,London,Camden,1840.00,645.00,662.00,Male
7.18,London,Croydon,4935.00,1595.00,990.00,Male
7.45,London,Ealing,8015.00,2895.00,2166.00,Male
7.42,London,Enfield,3940.00,1375.00,1065.00,Male
7.24,London,Greenwich,4160.00,1450.00,1404.00,Male
7.08,London,Hackney,5845.00,1560.00,2018.00,Male
7.17,London,Hammersmith and Fulham,3705.00,1230.00,2015.00,Male
7.28,London,Haringey,2625.00,850.00,896.00,Male
7.39,London,Harrow,4435.00,1585.00,1472.00,Male
7.13,London,Havering,3850.00,1520.00,1338.00,Male
7.25,London,Hillingdon,3860.00,1510.00,1196.00,Male
7.40,London,Hounslow,4015.00,1505.00,1410.00,Male
7.04,London,Islington,2270.00,805.00,1150.00,Male
7.56,London,Kensington and Chelsea,1980.00,875.00,1314.00,Male
7.50,London,Kingston upon Thames,1580.00,655.00,922.00,Male
7.21,London,Lambeth,8645.00,3075.00,3156.00,Male
7.30,London,Lewisham,4990.00,1735.00,1673.00,Male
7.29,London,Merton,2375.00,935.00,1245.00,Male
7.43,London,Newham,8625.00,2910.00,2892.00,Male
7.33,London,Redbridge,4800.00,1770.00,1518.00,Male
7.43,London,Richmond upon Thames,1620.00,720.00,861.00,Male
7.34,London,Southwark,9760.00,3510.00,3464.00,Male
7.35,London,Sutton,2475.00,770.00,878.00,Male
7.37,London,Tower Hamlets,6415.00,2070.00,2410.00,Male
7.24,London,Waltham Forest,6180.00,2095.00,2214.00,Male
7.36,London,Wandsworth,3430.00,1405.00,1404.00,Male
7.21,London,Westminster,4005.00,1680.00,1660.00,Male
7.28,South East,Bracknell Forest,935.00,335.00,628.00,Male
7.29,South East,Brighton and Hove,2155.00,820.00,702.00,Male
7.44,South East,Buckinghamshire,6270.00,2475.00,971.00,Male
7.40,South East,East Sussex,8980.00,3550.00,1208.00,Male
7.56,South East,Hampshire,19405.00,7480.00,1082.00,Male
7.59,South East,Isle of Wight,3005.00,1215.00,1488.00,Male
7.39,South East,Kent,24180.00,9960.00,1309.00,Male
7.30,South East,Medway,5510.00,2040.00,1675.00,Male
7.32,South East,Milton Keynes,4235.00,1310.00,1172.00,Male
7.42,South East,Oxfordshire,5060.00,1710.00,541.00,Male
7.44,South East,Portsmouth,3150.00,1065.00,1226.00,Male
7.44,South East,Reading,1175.00,425.00,666.00,Male
7.13,South East,Slough,3030.00,1100.00,2100.00,Male
7.39,South East,Southampton,7875.00,2790.00,2945.00,Male
7.51,South East,Surrey,11430.00,4285.00,765.00,Male
7.51,South East,West Berkshire,1020.00,425.00,546.00,Male
7.55,South East,West Sussex,13230.00,5170.00,1189.00,Male
7.47,South East,Windsor and Maidenhead,2175.00,895.00,1271.00,Male
7.57,South East,Wokingham,1010.00,375.00,480.00,Male
7.54,South West,Bath and North East Somerset,2715.00,930.00,1083.00,Male
7.27,South West,"Bournemouth, Christchurch and Poole",7390.00,3025.00,1558.00,Male
7.17,South West,"Bristol, City of",9590.00,2715.00,1624.00,Male
7.50,South West,Cornwall,15010.00,5255.00,1734.00,Male
7.47,South West,Devon,8410.00,3165.00,729.00,Male
7.56,South West,Dorset,4575.00,1850.00,836.00,Male
7.39,South West,Gloucestershire,21930.00,8795.00,2759.00,Male
7.44,South West,North Somerset,3770.00,1100.00,992.00,Male
7.32,South West,Plymouth,5365.00,1980.00,1669.00,Male
7.42,South West,Somerset,8820.00,3080.00,1038.00,Male
7.44,South West,South Gloucestershire,6750.00,1990.00,1496.00,Male
7.35,South West,Swindon,2965.00,1000.00,981.00,Male
7.36,South West,Torbay,2905.00,1000.00,1339.00,Male
7.50,South West,Wiltshire,8290.00,3090.00,1224.00,Male
7.16,North East,County Durham,11745.00,7170.00,2639.00,Female
7.45,North East,Darlington,2115.00,1370.00,2533.00,Female
7.22,North East,Gateshead,2565.00,1640.00,1586.00,Female
7.39,North East,Hartlepool,1950.00,1230.00,2605.00,Female
7.30,North East,Middlesbrough,980.00,575.00,876.00,Female
7.24,North East,Newcastle upon Tyne,4095.00,2340.00,1725.00,Female
7.31,North East,North Tyneside,3960.00,2325.00,2131.00,Female
7.45,North East,Northumberland,6380.00,3790.00,2260.00,Female
7.35,North East,Redcar and Cleveland,875.00,535.00,737.00,Female
7.13,North East,South Tyneside,2070.00,1215.00,1551.00,Female
7.48,North East,Stockton-on-Tees,3320.00,2135.00,2184.00,Female
7.27,North East,Sunderland,6585.00,3850.00,2646.00,Female
7.30,North West,Blackburn with Darwen,4070.00,2775.00,4037.00,Female
7.31,North West,Blackpool,3620.00,2335.00,3390.00,Female
7.32,North West,Bolton,2735.00,1550.00,1124.00,Female
7.41,North West,Bury,2625.00,1660.00,1736.00,Female
7.61,North West,Cheshire East,6875.00,4435.00,2394.00,Female
7.40,North West,Cheshire West and Chester,6990.00,4650.00,2726.00,Female
7.42,North West,Cumbria,8450.00,5145.00,2027.00,Female
7.13,North West,Halton,2740.00,1705.00,2606.00,Female
7.10,North West,Knowsley,2855.00,1945.00,2469.00,Female
7.43,North West,Lancashire,25330.00,15430.00,2502.00,Female
6.96,North West,Liverpool,9500.00,7005.00,2762.00,Female
7.18,North West,Manchester,9660.00,6815.00,2850.00,Female
7.12,North West,Oldham,3335.00,2200.00,1926.00,Female
7.26,North West,Rochdale,3620.00,2360.00,2167.00,Female
7.22,North West,Salford,7050.00,4390.00,3676.00,Female
7.28,North West,Sefton,4540.00,2915.00,2120.00,Female
7.10,North West,St. Helens,2585.00,1560.00,1714.00,Female
7.49,North West,Stockport,7545.00,4590.00,3064.00,Female
7.26,North West,Tameside,3070.00,1780.00,1592.00,Female
7.45,North West,Trafford,4095.00,2570.00,2230.00,Female
7.44,North West,Warrington,3730.00,2235.00,2134.00,Female
7.35,North West,Wigan,9905.00,5825.00,3538.00,Female
7.21,North West,Wirral,13000.00,8300.00,5095.00,Female
7.26,Yorkshire and the Humber,Barnsley,4285.00,2580.00,2053.00,Female
7.34,Yorkshire and the Humber,Bradford,16090.00,9930.00,3980.00,Female
7.44,Yorkshire and the Humber,Calderdale,4215.00,2760.00,2638.00,Female
7.35,Yorkshire and the Humber,Doncaster,5785.00,3900.00,2513.00,Female
7.44,Yorkshire and the Humber,East Riding of Yorkshire,6320.00,3780.00,2120.00,Female
7.22,Yorkshire and the Humber,"Kingston upon Hull, City of",3290.00,2310.00,1763.00,Female
7.25,Yorkshire and the Humber,Kirklees,7750.00,5535.00,2575.00,Female
7.33,Yorkshire and the Humber,Leeds,7670.00,5275.00,1325.00,Female
7.30,Yorkshire and the Humber,North East Lincolnshire,2615.00,1570.00,1979.00,Female
7.54,Yorkshire and the Humber,North Lincolnshire,2140.00,1275.00,1440.00,Female
7.50,Yorkshire and the Humber,North Yorkshire,13030.00,7635.00,2421.00,Female
7.28,Yorkshire and the Humber,Rotherham,7385.00,4810.00,3626.00,Female
7.27,Yorkshire and the Humber,Sheffield,7655.00,4840.00,1738.00,Female
7.31,Yorkshire and the Humber,Wakefield,8175.00,5765.00,3267.00,Female
7.31,Yorkshire and the Humber,York,7060.00,4425.00,4159.00,Female
7.45,East Midlands,Derby,7515.00,5125.00,4155.00,Female
7.43,East Midlands,Derbyshire,22355.00,14290.00,3478.00,Female
7.35,East Midlands,Leicester,5790.00,4345.00,2650.00,Female
7.53,East Midlands,Leicestershire,14405.00,9585.00,2705.00,Female
7.45,East Midlands,Lincolnshire,14770.00,9460.00,2471.00,Female
7.39,East Midlands,Northamptonshire,23865.00,15060.00,4124.00,Female
7.23,East Midlands,Nottingham,8780.00,6250.00,4179.00,Female
7.38,East Midlands,Nottinghamshire,25740.00,16385.00,3904.00,Female
7.55,East Midlands,Rutland                                                                         ,480.00,310.00,1708.00,Female
7.20,West Midlands,Birmingham,15755.00,11525.00,2158.00,Female
7.35,West Midlands,Coventry,8190.00,5585.00,3432.00,Female
7.24,West Midlands,Dudley,6765.00,4835.00,3037.00,Female
7.49,West Midlands,"Herefordshire, County of",3555.00,2270.00,2411.00,Female
7.36,West Midlands,Sandwell,5585.00,3880.00,2447.00,Female
7.54,West Midlands,Shropshire,6410.00,3820.00,2312.00,Female
7.45,West Midlands,Solihull,2875.00,1965.00,1857.00,Female
7.41,West Midlands,Staffordshire,25975.00,17020.00,3823.00,Female
7.15,West Midlands,Stoke-on-Trent,8200.00,6405.00,4985.00,Female
7.26,West Midlands,Telford and Wrekin,4165.00,2690.00,3075.00,Female
7.47,West Midlands,Walsall,7370.00,5305.00,3750.00,Female
7.52,West Midlands,Warwickshire,11450.00,7175.00,2469.00,Female
6.99,West Midlands,Wolverhampton,7375.00,5335.00,4119.00,Female
7.47,West Midlands,Worcestershire,16315.00,9775.00,3161.00,Female
7.33,East,Bedford,2460.00,1500.00,1757.00,Female
7.35,East,Cambridgeshire,7845.00,4770.00,1493.00,Female
7.49,East,Central Bedfordshire,4795.00,3130.00,2181.00,Female
7.41,East,Essex,17440.00,11015.00,1466.00,Female
7.43,East,Hertfordshire,17380.00,11210.00,1909.00,Female
7.31,East,Luton,5085.00,3615.00,3648.00,Female
7.53,East,Norfolk,16320.00,10480.00,2294.00,Female
7.31,East,Peterborough,2430.00,1595.00,1655.00,Female
7.39,East,Southend-on-Sea,1745.00,1185.00,1275.00,Female
7.48,East,Suffolk,15975.00,10270.00,2726.00,Female
7.30,East,Thurrock,1895.00,1335.00,1549.00,Female
7.22,London,Barking and Dagenham,3845.00,2635.00,2772.00,Female
7.42,London,Barnet,4140.00,2710.00,1417.00,Female
7.24,London,Bexley,3975.00,2390.00,1923.00,Female
7.31,London,Brent,7045.00,4700.00,3120.00,Female
7.48,London,Bromley,4790.00,3120.00,1828.00,Female
7.21,London,Camden,1840.00,1190.00,1035.00,Female
7.18,London,Croydon,4935.00,3340.00,1745.00,Female
7.45,London,Ealing,8015.00,5115.00,3268.00,Female
7.42,London,Enfield,3940.00,2565.00,1609.00,Female
7.24,London,Greenwich,4160.00,2710.00,2106.00,Female
7.08,London,Hackney,5845.00,4285.00,3815.00,Female
7.17,London,Hammersmith and Fulham,3705.00,2475.00,3190.00,Female
7.28,London,Haringey,2625.00,1775.00,1486.00,Female
7.39,London,Harrow,4435.00,2850.00,2390.00,Female
7.13,London,Havering,3850.00,2330.00,1775.00,Female
7.25,London,Hillingdon,3860.00,2350.00,1616.00,Female
7.40,London,Hounslow,4015.00,2515.00,2112.00,Female
7.04,London,Islington,2270.00,1465.00,1658.00,Female
7.56,London,Kensington and Chelsea,1980.00,1105.00,1433.00,Female
7.50,London,Kingston upon Thames,1580.00,925.00,1136.00,Female
7.21,London,Lambeth,8645.00,5575.00,4302.00,Female
7.30,London,Lewisham,4990.00,3255.00,2301.00,Female
7.29,London,Merton,2375.00,1440.00,1459.00,Female
7.43,London,Newham,8625.00,5715.00,4427.00,Female
7.33,London,Redbridge,4800.00,3025.00,2193.00,Female
7.43,London,Richmond upon Thames,1620.00,900.00,931.00,Female
7.34,London,Southwark,9760.00,6255.00,4711.00,Female
7.35,London,Sutton,2475.00,1700.00,1651.00,Female
7.37,London,Tower Hamlets,6415.00,4345.00,4016.00,Female
7.24,London,Waltham Forest,6180.00,4085.00,3347.00,Female
7.36,London,Wandsworth,3430.00,2025.00,1515.00,Female
7.21,London,Westminster,4005.00,2325.00,2044.00,Female
7.28,South East,Bracknell Forest,935.00,600.00,1020.00,Female
7.29,South East,Brighton and Hove,2155.00,1335.00,1020.00,Female
7.44,South East,Buckinghamshire,6270.00,3795.00,1424.00,Female
7.40,South East,East Sussex,8980.00,5430.00,1882.00,Female
7.56,South East,Hampshire,19405.00,11920.00,1689.00,Female
7.59,South East,Isle of Wight,3005.00,1790.00,2316.00,Female
7.39,South East,Kent,24180.00,14220.00,1791.00,Female
7.30,South East,Medway,5510.00,3475.00,2559.00,Female
7.32,South East,Milton Keynes,4235.00,2920.00,2279.00,Female
7.42,South East,Oxfordshire,5060.00,3350.00,991.00,Female
7.44,South East,Portsmouth,3150.00,2090.00,2127.00,Female
7.44,South East,Reading,1175.00,745.00,1035.00,Female
7.13,South East,Slough,3030.00,1925.00,3155.00,Female
7.39,South East,Southampton,7875.00,5085.00,4631.00,Female
7.51,South East,Surrey,11430.00,7145.00,1234.00,Female
7.51,South East,West Berkshire,1020.00,595.00,775.00,Female
7.55,South East,West Sussex,13230.00,8055.00,1833.00,Female
7.47,South East,Windsor and Maidenhead,2175.00,1275.00,1732.00,Female
7.57,South East,Wokingham,1010.00,635.00,772.00,Female
7.54,South West,Bath and North East Somerset,2715.00,1785.00,1873.00,Female
7.27,South West,"Bournemouth, Christchurch and Poole",7390.00,4365.00,2160.00,Female
7.17,South West,"Bristol, City of",9590.00,6875.00,3024.00,Female
7.50,South West,Cornwall,15010.00,9755.00,3464.00,Female
7.47,South West,Devon,8410.00,5245.00,1268.00,Female
7.56,South West,Dorset,4575.00,2720.00,1356.00,Female
7.39,South West,Gloucestershire,21930.00,13130.00,4146.00,Female
7.44,South West,North Somerset,3770.00,2675.00,2618.00,Female
7.32,South West,Plymouth,5365.00,3385.00,2633.00,Female
7.42,South West,Somerset,8820.00,5740.00,2117.00,Female
7.44,South West,South Gloucestershire,6750.00,4755.00,3318.00,Female
7.35,South West,Swindon,2965.00,1965.00,1818.00,Female
7.36,South West,Torbay,2905.00,1905.00,2845.00,Female
7.50,South West,Wiltshire,8290.00,5200.00,2139.00,Female
